"";"Nombre";"Episodios";"Resumen";"Talternativo";"Creadores";"Directores";"Estreno";"Estado";"Temporadas"
"1";"Karakuri Circus";" 36 Episodios";"Masaru Saiga es un joven de quinto que aspira a ser marionetista. Cuando Sadayoshi Saiga, CEO de la gran compañía de telefonía Saiga y padre de Masaru, fallezca, este heredará un total de 18.000 millones";"Le Cirque de Karakuri, <U+304B><U+3089><U+304F><U+308A><U+30B5><U+30FC><U+30AB><U+30B9> (Japanese)";"N/N";"Nishimura Satoshi";"  11-10-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"2";"Goblin Slayer";" 12 Episodios";"Una joven sacerdotisa ha formado su primer grupo de aventureros, pero no tardan mucho en verse en serios problemas. Por suerte, quien aparece en su rescate es el Asesino de Goblins, un hombre que ha dedicado su vida a exterminar a todo goblin vi.....";"Goblin Slayer (TV), <U+30B4><U+30D6><U+30EA><U+30F3><U+30B9><U+30EC><U+30A4><U+30E4><U+30FC> (Japanese)";"Kumo Kagyu";"Takaharu Ozaki";"  07-10-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"3";"Dororo (2019)";" 24 Episodios";"Daigo Kagemitsu es un temible samurái que entregó su futuro hijo a demonios, a cambio de ver cumplido su sueño de conquistar el país. Al cabo del tiempo, nació un niño deforme, al que faltaban cuarenta y ocho partes de su cuerpo. Su ambicioso pa.....";"Dororo to Hyakkimaru, Dororo (TV 2019), <U+3069><U+308D><U+308D> (Japanese)";"Osamu Tezuka";"Furuhashi Kazuhiro";"  07-01-2019   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"4";"Naruto";" 220 Episodios";"Su historia se desarrolla en un mundo de ninjas, en el que su protagonista, Naruto, sueña con convertirse en Hokage, el líder de su aldea. Sin embargo, el chico no lo tiene fácil, pues desde su niñez ha sido marginado por tener en su interior el.....";"Naruto (TV), <U+30CA><U+30EB><U+30C8> (Japanese)";"N/N";"Hayato Date";"  10-03-2002   ";"Finalizado";"4 TEMPORADA(S) DISPONIBLE(S)"
"5";"Bleach";" 366 Episodios";"Kurosaki Ichigo es un estudiante de instituto de 15 años, que tiene una peculiaridad: es capaz de ver, oír y hablar con fantasmas. Pero no sabe hasta dónde puede abarcar la clasificación de espíritus, ni lo que conlleva el saberlo. Un buen día,...";"Bleach";"N/N";"Noriyuki Abe";"  05-10-2004   ";"Próximo";"1 TEMPORADA(S) DISPONIBLE(S)"
"6";"Radiant";" 21 Episodios";"Seth es un joven que aspira a ser un gran hechicero y que vive con Alma, una experta hechicera, una remota isla. Los hechiceros son personas que han sobrevivido al contacto con los temibles Némesis, y los humanos normales los temen como a los mo.....";"Radiant";"N/N";"Kishi Seiji";"  06-10-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"7";"Tsurune: Kazemai Koukou Kyuudoubu";" 13 Episodios";"Cuando Minato Narumiya comienza como estudiante en la Preparatoria Prefectural Kazemai no tarda en recibir una invitación para formar parte del club de arquería vía el profesor Tommy, quien quiere";"Tsurune: Kazemai Koukou Kyuudoubu";"N/N";"Takuya Yamamura";"  22-10-2018   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"8";"Yakusoku no Neverland";" 12 Episodios";"Por mucho que los niños la quieran, ella no es su madre. Viven juntos, pero no son familiares de sangre. Grace Field es un hogar al que son enviados los niños que no tienen padres. Un hogar irreemplazable para los 38 niños que allí viven felices.....";"The Promised Neverland";"N/N";"Mamoru Kanbe";"  11-01-2019   ";"Finalizado";"1 TEMPORADA(S) DISPONIBLE(S)"
"9";"Mob Psycho 100 II";" 13 Episodios";"Shigeo Kageyama, ""Mob"" para sus amigos, tiene un secreto: es en realidad un poderoso \""esper\"" capaz de derrotar a las fuerzas malignas que pueblan el mundo. Sin embargo, no le interesa sacar partido de su";"Mob Psycho 100 II";"One";"Yuzuru Tachikawa";"  07-01-2019   ";"Finalizado";"2 TEMPORADA(S) DISPONIBLE(S)"
"10";"Sword Art Online Alicization";" 24 Episodios";"En un futuro cercano, un Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) llamado Sword Art Online permite que los jugadores se introduzcan en el juego directamente mediante el uso del Nerve Gear, un casco que les sumerge...";"Sword Art Online Alicization";"N/N";"";"  07-10-2018   ";"Finalizado";"4 TEMPORADA(S) DISPONIBLE(S)"
